"Provider","ProviderSymbol","Channel","ChannelSymbol"
"WEC-Domain-Workstations","AJRC_LAPTOP_WEC_DOMAIN_WORKSTATIONS","WEC-Domain-Workstations/Application And Services","AJRC_LAPTOP_WEC_DOMAIN_WORKSTATIONS_APPLICATION_AND_SERVICES"
"WEC-Domain-Workstations","AJRC_LAPTOP_WEC_DOMAIN_WORKSTATIONS","WEC-Domain-Workstations/Identity And Access","AJRC_LAPTOP_WEC_DOMAIN_WORKSTATIONS_IDENTITY_AND_ACCESS"
"WEC-Domain-Workstations","AJRC_LAPTOP_WEC_DOMAIN_WORKSTATIONS","WEC-Domain-Workstations/Security And Auditing","AJRC_LAPTOP_WEC_DOMAIN_WORKSTATIONS_SECURITY_AND_AUDITING"
"WEC-Domain-Workstations","AJRC_LAPTOP_WEC_DOMAIN_WORKSTATIONS","WEC-Domain-Workstations/Network","AJRC_LAPTOP_WEC_DOMAIN_WORKSTATIONS_NETWORK"
"WEC-Domain-Workstations","AJRC_LAPTOP_WEC_DOMAIN_WORKSTATIONS","WEC-Domain-Workstations/System","AJRC_LAPTOP_WEC_DOMAIN_WORKSTATIONS_SYSTEM"
"WEC-Domain-Servers","AJRC_LAPTOP_WEC_DOMAIN_SERVERS","WEC-Domain-Servers/Application And Services","AJRC_LAPTOP_WEC_DOMAIN_SERVERS_APPLICATION_AND_SERVICES"
"WEC-Domain-Servers","AJRC_LAPTOP_WEC_DOMAIN_SERVERS","WEC-Domain-Servers/Identity And Access","AJRC_LAPTOP_WEC_DOMAIN_SERVERS_IDENTITY_AND_ACCESS"
"WEC-Domain-Servers","AJRC_LAPTOP_WEC_DOMAIN_SERVERS","WEC-Domain-Servers/Security And Auditing","AJRC_LAPTOP_WEC_DOMAIN_SERVERS_SECURITY_AND_AUDITING"
"WEC-Domain-Servers","AJRC_LAPTOP_WEC_DOMAIN_SERVERS","WEC-Domain-Servers/Network","AJRC_LAPTOP_WEC_DOMAIN_SERVERS_NETWORK"
"WEC-Domain-Servers","AJRC_LAPTOP_WEC_DOMAIN_SERVERS","WEC-Domain-Servers/System","AJRC_LAPTOP_WEC_DOMAIN_SERVERS_SYSTEM"
